old	new	diff
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	2	0
0	7	7
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
26	31	5
0	0	0
0	0	0
0	5	5
0	0	0
0	1	1
0	0	0
0	0	0
1	1	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
5	72	67
42	41	-1
2	4	2
1	9	8
186	204	18
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	112	111
1	20	19
0	0	0
0	0	0
0	0	0
3	3	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
2	2	0
0	0	0
0	0	0
0	1	1
0	7	7
0	0	0
0	1	1
0	1	1
0	0	0
0	2	2
1	1	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	4	4
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
824	872	48
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	90	88
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	0	0
0	5	5
0	0	0
0	0	0
0	1	1
1	46	45
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
1	2	1
0	4	4
0	0	0
0	0	0
1	9	8
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	0
0	6	6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3	19	16
11	11	0
0	0	0
0	1	1
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3	5	2
1	2	1
1	2	1
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
3	52	49
0	1	1
0	4	4
0	0	0
0	0	0
74	88	14
22	28	6
0	0	0
0	0	0
0	1	1
0	0	0
0	22	22
0	0	0
14	14	0
0	3	3
0	0	0
21	23	2
2	2	0
0	2	2
0	0	0
0	0	0
0	8	8
1	2	1
1	2	1
1	8	7
0	0	0
0	11	11
0	0	0
0	0	0
0	4	4
0	1	1
0	1	1
0	5	5
