Individual	Faction	Club
1	Hi-Strong	Hi
2	Hi-Strong	Hi
3	Hi-Strong	Hi
4	Hi-Strong	Hi
5	Hi-Strong	Hi
6	Hi-Strong	Hi
7	Hi-Strong	Hi
8	Hi-Strong	Hi
9	Officer-Weak	Hi
10	None	Officer
11	Hi-Strong	Hi
12	Hi-Strong	Hi
13	Hi-Weak	Hi
14	Hi-Weak	Hi
15	Officer-Strong	Officer
16	Officer-Weak	Officer
17	None	Hi
18	Hi-Weak	Hi
19	None	Officer
20	Hi-Weak	Hi
21	Officer-Strong	Officer
22	Hi-Weak	Hi
23	Officer-Strong	Officer
24	Officer-Weak	Officer
25	Officer-Weak	Officer
26	Officer-Strong	Officer
27	Officer-Strong	Officer
28	Officer-Strong	Officer
29	Officer-Strong	Officer
30	Officer-Strong	Officer
31	Officer-Strong	Officer
32	Officer-Strong	Officer
33	Officer-Strong	Officer
34	Officer-Strong	Officer
